category,skill,level,question,answer
Frontend,CSS,Hard,Why is position: sticky sometimes not working?,It needs a scrollable ancestor and a defined top/left/right/bottom offset.
Frontend,CSS,Hard,How do you handle specificity wars in large projects?,"Use cascade layers, utility classes, or naming conventions like BEM."
Frontend,CSS,Hard,Explain difference between relative color syntax and traditional color functions.,"Relative color syntax (e.g., color-mix()) allows manipulation based on existing colors."
Frontend,CSS,Hard,How does clip-path: path() differ from SVG clipping?,"clip-path applies CSS shapes, while SVG allows more complex paths and external references."
Frontend,CSS,Hard,Why is CSS subgrid important for complex layouts?,It aligns nested elements with parent grid without duplicating track definitions.
Frontend,CSS,Hard,What is the difference between :is() and :where()?,"Both group selectors, but :where() has zero specificity, :is() takes the highest specificity."
Frontend,CSS,Hard,How does prefers-reduced-motion improve accessibility?,It respects user OS settings and disables motion-heavy animations.
Frontend,CSS,Hard,Write CSS to support both dark mode and high-contrast users.,Use combined media queries: @media (prefers-color-scheme: dark) and (prefers-contrast: more).
Frontend,CSS,Hard,Why should inline critical CSS be minimized?,Too much inline CSS blocks rendering and prevents caching.
Frontend,CSS,Hard,Explain difference between absolute and fixed background attachment.,"Absolute scrolls with element, fixed stays relative to viewport."
Frontend,CSS,Hard,What is the role of CSS Houdini?,"It exposes low-level APIs to extend CSS, letting developers define custom styles."
Frontend,CSS,Hard,How do you implement masonry layout without JS?,Use grid-template-rows: masonry; (experimental) or CSS multi-columns.
Frontend,CSS,Hard,Why is object-fit: cover; useful in responsive images?,"It ensures the image fills container while preserving aspect ratio, cropping if needed."
Frontend,CSS,Hard,How does browser handle conflicting CSS transitions and animations?,Animation overrides transition on the same property unless explicitly managed.
Frontend,CSS,Hard,Differentiate between shadow DOM styles and global CSS.,"Shadow DOM encapsulates styles, preventing leakage in or out."
Frontend,CSS,Hard,Why is it better to use CSS logical properties in multilingual sites?,"They adapt automatically to writing modes (LTR, RTL, vertical)."
Frontend,CSS,Hard,How do painting and compositing affect CSS performance?,"Painting draws pixels, compositing layers them; fewer layers = better performance."
Frontend,CSS,Hard,Why is grid-template-areas useful in design systems?,"It creates semantic, maintainable layouts with named regions."
Frontend,CSS,Hard,How do you optimize large background images in CSS?,"Use responsive srcset, lazy loading, compression, and background-size: cover."
Frontend,CSS,Hard,What’s the difference between @supports and polyfills?,@supports checks browser feature availability; polyfills add missing functionality.
Frontend,CSS,Hard,"Explain difference between CSS Cascade Order, Inheritance, and Specificity.","Cascade resolves conflicts, inheritance passes styles down, specificity prioritizes selectors."
Frontend,CSS,Hard,How does CSS accent-color improve form styling?,It lets browsers colorize form controls consistently without heavy overrides.
Frontend,CSS,Hard,What’s the difference between static and custom properties in performance terms?,"Static are resolved once, custom properties are dynamic and evaluated at runtime."
Frontend,CSS,Hard,How do layers affect performance when using z-index and transforms?,New stacking contexts increase memory usage but improve isolation.
Frontend,CSS,Hard,Explain the difference between CSS counters and generated content.,Counters track numbers dynamically; generated content inserts extra text/icons.
Frontend,CSS,Hard,Why can excessive box-shadow slow rendering?,Each shadow increases paint complexity and GPU work.
Frontend,CSS,Hard,How does browser decide between hardware and software rendering for CSS?,"Based on property type: transforms/opacity → GPU, layout/paint-heavy → CPU."
Frontend,CSS,Hard,Why use object-view-box in modern CSS?,To crop/reposition replaced elements (like images/videos) within their container.
Frontend,CSS,Hard,How does backdrop-filter differ from filter?,"backdrop-filter applies effect on background behind element, filter applies to element itself."
Frontend,CSS,Hard,What is the difference between CSS Layers and z-index stacking?,"Layers control cascade order, z-index controls visual stacking."
Frontend,CSS,Hard,Why is container query inline-size more powerful than media query width?,"It adapts based on parent container, not entire viewport, making components reusable."
Frontend,CSS,Hard,Explain the difference between CSS cascade layers and !important.,Layers control structured priority; !important force overrides at rule level.
Frontend,CSS,Hard,What is the difference between scroll snapping and normal scrolling?,"Scroll snapping locks scroll to positions (scroll-snap-type), normal scroll is free."
Frontend,CSS,Hard,Why can @keyframes animations affect accessibility?,Continuous animations may cause motion sickness; reduced motion should be respected.
Frontend,React.js,Easy,What is React.js?,"A JavaScript library for building user interfaces, developed by Facebook."
Frontend,React.js,Easy,Why do we use React instead of plain JavaScript?,React makes UI development easier with reusable components and efficient updates via Virtual DOM.
Frontend,React.js,Easy,What is JSX in React?,JSX is a syntax extension that lets you write HTML-like code inside JavaScript.
Frontend,React.js,Easy,Can a React component return multiple elements?,"Yes, by wrapping them in a parent element like <div> or <> (React Fragment)."
Frontend,React.js,Easy,What are React components?,"Independent, reusable pieces of UI that can be functional or class-based."
Frontend,React.js,Easy,Differentiate between functional and class components.,Functional use functions and hooks; class use ES6 classes and lifecycle methods.
Frontend,React.js,Easy,What is the Virtual DOM?,A lightweight copy of the real DOM that React updates efficiently.
Frontend,React.js,Easy,How does React update the UI efficiently?,By comparing Virtual DOM with previous state (diffing) and applying only necessary changes.
Frontend,React.js,Easy,What is a React Fragment?,A wrapper <>...</> that lets you return multiple elements without adding extra nodes.
Frontend,React.js,Easy,How do you create a React app quickly?,Using create-react-app or modern tools like Vite.
Frontend,React.js,Easy,What is the difference between props and state?,"Props are external, passed to components; state is internal, managed inside a component."
Frontend,React.js,Easy,Can props be changed inside a component?,"No, props are read-only."
Frontend,React.js,Easy,How do you define state in a functional component?,Using the useState hook.
Frontend,React.js,Easy,Write code to initialize state with useState.,"const [count, setCount] = useState(0);"
Frontend,React.js,Easy,What is the purpose of setState in React?,To update component state and re-render the UI.
Frontend,React.js,Easy,How do you pass data from parent to child in React?,"By passing props: <Child name=""John"" />."
Frontend,React.js,Easy,How do you handle events in React?,By using camelCase event handlers like onClick={handleClick}.
Frontend,React.js,Easy,What is conditional rendering in React?,"Showing different UI based on conditions, often using ternary operator or &&."
Frontend,React.js,Easy,How do you render a list in React?,Using JavaScript .map() function with JSX.
Frontend,React.js,Easy,Why do we need key when rendering lists in React?,To help React identify and efficiently update list items.
Frontend,React.js,Easy,What is the default value of key in React if not provided?,"The index of the array, though it’s not recommended."
Frontend,React.js,Easy,How do you apply inline styles in React?,"By using objects: <div style={{ color: ""red"" }}>Hello</div>."
Frontend,React.js,Easy,What is a controlled component in React forms?,A form input whose value is controlled by React state.
Frontend,React.js,Easy,How do you handle form inputs in React?,By binding value to state and updating state on onChange.
Frontend,React.js,Easy,What is the difference between controlled and uncontrolled components?,Controlled components use state; uncontrolled rely on ref and the DOM.
Frontend,React.js,Easy,What is React Router used for?,For navigation between pages/components in single-page applications (SPA).
Frontend,React.js,Easy,How do you install React Router?,npm install react-router-dom.
Frontend,React.js,Easy,How do you redirect a user in React Router?,"By using <Navigate to=""/path"" />."
Frontend,React.js,Easy,What is the difference between <Link> and <a> in React Router?,"<Link> prevents page reload (SPA navigation), <a> reloads the page."
Frontend,React.js,Easy,How do you use conditional CSS classes in React?,By using template literals or libraries like classnames.
Frontend,React.js,Easy,What is React Hook?,Special functions that let you use state and lifecycle in functional components.
Frontend,React.js,Easy,Name some commonly used hooks.,"useState, useEffect, useContext, useRef."
Frontend,React.js,Easy,How does useEffect work?,"It runs side effects after rendering, like fetching data or updating DOM."
Frontend,React.js,Easy,When does useEffect run without dependencies?,After every render.
Frontend,React.js,Easy,When does useEffect run with an empty dependency array []?,"Only once, after the initial render."
Frontend,React.js,Easy,What is the purpose of useRef hook?,To access or store values without causing re-renders (like DOM elements).
Frontend,React.js,Easy,How do you handle default props in React?,By assigning Component.defaultProps = { ... }.
Frontend,React.js,Easy,What is prop drilling in React?,Passing props through multiple levels of components unnecessarily.
Frontend,React.js,Easy,How can prop drilling be avoided?,Using Context API or state management libraries.
Frontend,React.js,Easy,What is Context API in React?,A way to share state globally without prop drilling.
Frontend,React.js,Easy,How do you create Context in React?,Using const MyContext = React.createContext();.
Frontend,React.js,Easy,How do you consume Context in a functional component?,Using useContext(MyContext).
Frontend,React.js,Easy,What is the difference between React and Angular?,"React is a library for UI, Angular is a full-fledged framework."
Frontend,React.js,Easy,What is the difference between React and Vue?,"React uses JSX and virtual DOM, Vue uses templates and has built-in reactivity."
Frontend,React.js,Easy,What is the use of React.StrictMode?,"It highlights potential problems during development, doesn’t affect production."
Frontend,React.js,Easy,Can you write React without JSX?,"Yes, by using React.createElement(), though JSX is preferred."
Frontend,React.js,Easy,What is the difference between npm start and npm build?,"start runs dev server, build creates optimized production files."
Frontend,React.js,Easy,How do you comment inside JSX?,{/* This is a comment */}.
Frontend,React.js,Easy,What is the use of export default in React components?,It allows importing the component without curly braces.
Frontend,React.js,Easy,How do you import a component in React?,"import MyComponent from ""./MyComponent"";."
Frontend,React.js,Medium,How does the virtual DOM help improve performance in React?,It minimizes direct DOM updates by comparing changes in a virtual copy and applying only the necessary updates.
Frontend,React.js,Medium,Explain the purpose of keys in React lists.,"Keys help React identify which items changed, added, or removed to optimize rendering."
Frontend,React.js,Medium,Can you describe how controlled and uncontrolled components differ?,"Controlled components rely on React state for their values, while uncontrolled components use the DOM’s own state via refs."
Frontend,React.js,Medium,How do you pass data from a parent to a child component?,"By using props, which allow values to be passed down."
Frontend,React.js,Medium,In what scenario would you prefer React.Fragment over a div wrapper?,When you want to group multiple elements without adding extra nodes to the DOM.
Frontend,React.js,Medium,How can you prevent unnecessary re-renders in React components?,"By using React.memo, shouldComponentUpdate, or optimizing props/state usage."
Frontend,React.js,Medium,What happens if you update state directly without using setState/useState?,React won’t re-render properly because state updates must go through the provided updater functions.
Frontend,React.js,Medium,Why is lifting state up important in React?,"It allows shared state between components, preventing data duplication and ensuring consistency."
Frontend,React.js,Medium,What are synthetic events in React?,React’s wrapper around browser events that work consistently across all browsers.
Frontend,React.js,Medium,How does React batch state updates?,React groups multiple state updates into a single re-render for performance optimization.
Frontend,React.js,Medium,What’s the significance of defaultProps in React?,It defines default values for props when no value is provided.
Frontend,React.js,Medium,How do you handle form submissions in React?,By attaching an onSubmit handler and preventing default behavior using event.preventDefault().
Frontend,React.js,Medium,Why should array indices not be used as keys?,Because it can lead to inefficient re-renders and bugs when items are reordered or removed.
Frontend,React.js,Medium,How does React distinguish between class and functional components during rendering?,"Class components extend React.Component, while functional ones are just functions returning JSX."
Frontend,React.js,Medium,Can you explain the role of prop drilling?,Passing props through multiple layers of components unnecessarily to reach a deeply nested child.
Frontend,React.js,Medium,What is the benefit of using PropTypes?,"It validates the type of props, helping catch bugs and improve documentation."
Frontend,React.js,Medium,When does React re-render a component?,When its state or props change.
Frontend,React.js,Medium,What is the difference between mounting and unmounting in React?,"Mounting is inserting the component into the DOM, unmounting is removing it."
Frontend,React.js,Medium,What is reconciliation in React?,The process React uses to update the DOM by comparing the virtual DOM with the previous version.
Frontend,React.js,Medium,What are higher-order components (HOCs)?,Functions that take a component as input and return a new component with added behavior.
Frontend,React.js,Medium,Can you describe how React handles conditional rendering?,"It uses JavaScript expressions like if statements, ternary operators, or logical && inside JSX."
Frontend,React.js,Medium,What’s the difference between inline CSS and CSS modules in React?,"Inline CSS is applied directly to elements, while CSS modules scope styles to specific components."
Frontend,React.js,Medium,How can you ensure props passed to a component are required?,By using PropTypes with .isRequired.
Frontend,React.js,Medium,Why do React functional components sometimes re-render unnecessarily?,"Because parent components pass new references for props, even if the values are the same."
Frontend,React.js,Medium,What’s the difference between pure components and regular components?,Pure components implement shallow comparison of props/state to avoid re-renders.
Frontend,React.js,Medium,How do you pass functions as props?,By defining a function in the parent and sending it as a prop to the child.
Frontend,React.js,Medium,What’s the purpose of React.StrictMode?,To highlight potential problems by running checks during development.
Frontend,React.js,Medium,How do default values work with useState?,The initial value is set only during the first render.
Frontend,React.js,Medium,Why might you use a key that never changes for a list item?,To avoid losing component state during re-renders.
Frontend,React.js,Medium,How does context API reduce prop drilling?,It allows data to be shared globally without manually passing props down each level.
Frontend,React.js,Medium,Why is JSX considered syntactic sugar?,Because it is a shorthand for calling React.createElement().
Frontend,React.js,Medium,What is event delegation in React?,React attaches one event handler at the root and uses delegation for child events.
Frontend,React.js,Medium,How can you make a component reusable?,"By keeping it generic, parameterized with props, and avoiding hardcoded logic."
Frontend,React.js,Medium,What is the difference between state and props mutability?,"State is mutable (managed within a component), while props are immutable (read-only from parent)."
Frontend,React.js,Medium,What’s the difference between export default and named export in React components?,"Default export allows importing with any name, named export requires exact import names."
Frontend,React.js,Medium,How does React identify which DOM changes to make after state updates?,Through the diffing algorithm and reconciliation.
Frontend,React.js,Medium,How can you conditionally add a class in React?,By using JavaScript expressions like template literals or libraries such as classnames.
Frontend,React.js,Medium,How do you avoid binding functions inside render in class components?,By binding in the constructor or using arrow functions.
Frontend,React.js,Medium,What does it mean when React components are declarative?,"You describe the UI state, and React takes care of rendering the actual DOM updates."
Frontend,React.js,Medium,What is composition in React?,Building complex UIs by combining smaller components together.
Frontend,React.js,Medium,How do you handle default behavior for props in functional components?,By setting default function arguments or using defaultProps.
Frontend,React.js,Medium,What’s the difference between useRef and state for storing values?,"useRef doesn’t trigger re-renders when updated, while state does."
Frontend,React.js,Medium,Why is immutability important in React state management?,It ensures predictable re-renders and makes state updates easier to track.
Frontend,React.js,Medium,What are render props in React?,A pattern where a component takes a function as a prop to control what it renders.
Frontend,React.js,Medium,What happens if two components share the same state variable incorrectly?,They might behave inconsistently or override each other’s data.
Frontend,React.js,Medium,What is the significance of displayName in React components?,It helps with debugging by naming components in DevTools or HOCs.
Frontend,React.js,Medium,How do you handle optional props in React?,By providing default values or checking with conditional rendering.
Frontend,React.js,Medium,Why is it recommended to avoid anonymous functions in JSX sometimes?,"They create new function references on every render, possibly causing re-renders."
Frontend,React.js,Medium,Can React render arrays directly?,"Yes, by returning an array of elements with keys from a component."
Frontend,React.js,Medium,How can you improve performance of a large list in React?,By using windowing libraries like react-window or react-virtualized.
Frontend,React.js,Hard,How does React Fiber architecture differ from the old stack reconciler?,"Fiber breaks rendering into small units of work, enabling interruption and prioritization, unlike the old synchronous stack-based reconciler."
Frontend,React.js,Hard,What problem does React’s concurrent rendering solve?,"It allows React to interrupt rendering tasks, prioritize urgent updates, and keep UIs responsive."
Frontend,React.js,Hard,How does React determine the priority of updates in concurrent mode?,React assigns lanes (priorities) to updates and processes them based on urgency.
Frontend,React.js,Hard,Explain how Suspense works under the hood.,"Suspense pauses rendering until a resource (like data or code) is ready, showing a fallback in the meantime."
Frontend,React.js,Hard,What role does the scheduler play in React Fiber?,It manages task queues and prioritizes rendering work efficiently.
Frontend,React.js,Hard,How is useTransition different from a normal state update?,"It marks updates as non-urgent, letting urgent updates like typing happen without delay."
Frontend,React.js,Hard,How does React’s diffing algorithm optimize reconciliation?,"It assumes elements of the same type stay stable, compares keys, and reuses unchanged components."
Frontend,React.js,Hard,What is React.lazy and how does it differ from dynamic imports?,"React.lazy loads components on demand with Suspense support, while dynamic imports return a promise directly."
Frontend,React.js,Hard,"How can you implement error boundaries, and why are they important?","By creating a class component with componentDidCatch and getDerivedStateFromError, they catch runtime errors in children."
Frontend,React.js,Hard,What is hydration in React?,The process of attaching event listeners and making server-rendered HTML interactive on the client.
Frontend,React.js,Hard,How does React handle memory leaks with event listeners or intervals?,Developers must clean them up in useEffect cleanup functions or lifecycle methods.
Frontend,React.js,Hard,What are React portals and when would you use them?,"They allow rendering children into a DOM node outside the parent hierarchy, useful for modals, tooltips, etc."
Frontend,React.js,Hard,How do you handle race conditions in async data fetching inside React components?,By canceling outdated requests or using libraries like React Query that handle stale data.
Frontend,React.js,Hard,How does useDeferredValue improve performance in React 18?,It delays non-urgent updates so that urgent ones (like typing) render instantly.
Frontend,React.js,Hard,What are controlled concurrency features in React 18?,"Features like automatic batching, transitions, and deferred values that optimize rendering."
Frontend,React.js,Hard,How do hooks avoid creating closures that capture stale values?,By using dependency arrays in useEffect and useCallback to update closures.
Frontend,React.js,Hard,Why must custom hooks always follow the rules of hooks?,To ensure React can track hook calls consistently and not break the hooks order.
Frontend,React.js,Hard,How would you implement a custom hook for debouncing input?,"Use useState, useEffect, and setTimeout to delay state updates until typing stops."
Frontend,React.js,Hard,Can you explain the difference between static site generation and server-side rendering in React frameworks?,"SSG builds pages at compile time, SSR builds them at request time."
Frontend,React.js,Hard,How can React Suspense be combined with streaming SSR?,"By streaming parts of UI progressively as data resolves, improving perceived performance."
Frontend,React.js,Hard,Why is context API sometimes considered an anti-pattern?,Because excessive use can cause unnecessary re-renders and tightly coupled components.
Frontend,React.js,Hard,How do you debug React performance bottlenecks?,By using React DevTools Profiler to check rendering times and optimize slow components.
Frontend,React.js,Hard,How does React ensure backward compatibility with class components?,Fiber supports both class and function components in its reconciliation model.
Frontend,React.js,Hard,How would you optimize a React app with thousands of DOM nodes?,"Techniques include virtualization, memoization, lazy loading, and splitting large trees."
Frontend,React.js,Hard,How does useCallback differ from useMemo in behavior?,"useCallback memoizes a function, while useMemo memoizes a computed value."
Frontend,React.js,Hard,"What is React’s batching mechanism, and how did React 18 improve it?","React batches multiple state updates into one render; React 18 batches across promises, timeouts, and events."
Frontend,React.js,Hard,How do you implement infinite scrolling in React efficiently?,By using IntersectionObserver or virtualization libraries like react-window.
Frontend,React.js,Hard,Why is server-side rendering beneficial for SEO in React apps?,It ensures search engines can index HTML directly without waiting for JS execution.
Frontend,React.js,Hard,How do you prevent excessive prop drilling without using context API?,"By using composition patterns, render props, or state management libraries."
Frontend,React.js,Hard,How does React reconcile lists with duplicate keys?,"It reuses components incorrectly, leading to bugs, hence unique keys are required."
Frontend,React.js,Hard,How does tree-shaking work with React applications?,Tools like Webpack remove unused imports during build to reduce bundle size.
Frontend,React.js,Hard,What is the difference between a React render phase and commit phase?,"Render phase computes changes (can be paused), commit phase applies changes to the DOM (synchronous)."
Frontend,React.js,Hard,How does React differentiate between mount and update inside useEffect?,By checking dependency arrays; an empty array runs only on mount.
Frontend,React.js,Hard,What are the pitfalls of using React’s Context for global state management?,It can cause performance issues due to re-renders and lacks advanced features like middleware.
Frontend,React.js,Hard,How do you implement optimistic UI updates in React?,"Update UI immediately before confirming success from server, then rollback if failed."
Frontend,React.js,Hard,What is the significance of immutable state in React updates?,It allows React to detect changes via shallow comparison efficiently.
Frontend,React.js,Hard,How does React detect changes in nested objects when using useState?,It doesn’t deep compare; developers must provide new object references.
Frontend,React.js,Hard,How would you build a plugin system in React?,"By using render props, higher-order components, or context-driven component injection."
Frontend,React.js,Hard,Why does React encourage unidirectional data flow over two-way binding?,It makes data flow predictable and debugging easier.
Frontend,React.js,Hard,What is suspense for data fetching and how does it differ from existing solutions?,"Suspense lets components wait for async data, while libraries like fetch need manual loading states."
Frontend,React.js,Hard,What is React’s “render as you fetch” pattern?,"Fetching data before rendering a component, often used with Suspense for better performance."
Frontend,React.js,Hard,How does React handle concurrent updates from different components?,It schedules them into lanes and reconciles them without blocking.
Frontend,React.js,Hard,How can code-splitting affect React app performance?,It reduces initial load time by splitting code into smaller bundles loaded on demand.
Frontend,React.js,Hard,What is hydration mismatch and how can you fix it?,A difference between server-rendered HTML and client-rendered output; fix by consistent rendering logic.
Frontend,React.js,Hard,How do React hooks internally keep track of multiple useState calls?,By storing hooks in a linked list aligned with component call order.
Frontend,React.js,Hard,What challenges arise when testing React components with async hooks?,"Handling state updates, mocking fetch calls, and waiting for re-renders properly."
Frontend,React.js,Hard,Why is React considered a library and not a full framework?,"It focuses only on UI rendering, relying on other tools for routing, state, and SSR."
Frontend,React.js,Hard,How can you implement a micro-frontend architecture using React?,By splitting the UI into smaller independently deployed React apps integrated together.
Frontend,React.js,Hard,What are Suspense boundaries and how do they improve user experience?,They define regions of UI that can independently show fallback content while waiting for data.
Frontend,React.js,Hard,How does React handle priority for user-blocking vs non-blocking updates?,"User-blocking updates like input typing are rendered first, while non-blocking ones are deferred."
Frontend,React Native,Easy,What is React Native?,A framework for building mobile apps using JavaScript and React.
Frontend,React Native,Easy,Who developed React Native?,Facebook (Meta).
Frontend,React Native,Easy,Fill in the blank: React Native is used to build ______ applications.,Mobile (iOS and Android).
Frontend,React Native,Easy,True/False: React Native uses WebView to render apps.,False (it uses native components).
Frontend,React Native,Easy,Which programming language is mainly used in React Native?,JavaScript.
Frontend,React Native,Easy,What is the difference between React and React Native?,"React is for web apps, React Native is for mobile apps."
Frontend,React Native,Easy,How do you start a new React Native project?,Using npx react-native init ProjectName.
Frontend,React Native,Easy,Which command runs a React Native app on Android emulator?,npx react-native run-android.
Frontend,React Native,Easy,Scenario: You want to test your React Native app on iOS. Which command do you use?,npx react-native run-ios.
Frontend,React Native,Easy,What is the purpose of Metro bundler in React Native?,It bundles and serves JavaScript code to the app.
Frontend,React Native,Easy,Which tag is the root component in React Native apps?,<App />.
Frontend,React Native,Easy,True/False: React Native supports hot reloading.,True.
Frontend,React Native,Easy,What is the default entry file for a React Native project?,index.js.
Frontend,React Native,Easy,Fill in the blank: React Native uses ______ for styling.,JavaScript objects (StyleSheet).
Frontend,React Native,Easy,Which component is used to display text in React Native?,<Text>.
Frontend,React Native,Easy,Which component is used to create buttons?,<Button> or <TouchableOpacity>.
Frontend,React Native,Easy,What is the difference between <View> and <Text> in React Native?,"<View> is a container, <Text> is for displaying text."
Frontend,React Native,Easy,Which component is similar to <div> in React?,<View>.
Frontend,React Native,Easy,How do you apply inline styling in React Native?,By passing a style object directly to style prop.
Frontend,React Native,Easy,What is the use of StyleSheet.create()?,It organizes and optimizes styles in React Native.
Frontend,React Native,Easy,Which component is used for scrolling content?,<ScrollView>.
Frontend,React Native,Easy,What is the difference between <ScrollView> and <FlatList>?,<ScrollView> loads all items; <FlatList> renders items lazily.
Frontend,React Native,Easy,Scenario: You want to render a list of items efficiently. Which component do you use?,<FlatList>.
Frontend,React Native,Easy,Which React Native component is used for handling user input?,<TextInput>.
Frontend,React Native,Easy,"Fill in the blank: In React Native, images are displayed using the ______ component.",<Image>.
Frontend,React Native,Easy,How do you handle button press events in React Native?,Using onPress prop.
Frontend,React Native,Easy,Which navigation library is most commonly used in React Native?,React Navigation.
Frontend,React Native,Easy,True/False: React Native can access device APIs like camera and GPS.,True.
Frontend,React Native,Easy,Which tool is used to debug React Native apps?,React Native Debugger or Flipper.
Frontend,React Native,Easy,What is the difference between Expo and React Native CLI?,Expo is an SDK for quick development; CLI gives more native control.
Frontend,React Native,Easy,Which command is used to install a package in React Native?,npm install or yarn add.
Frontend,React Native,Easy,Fill in the blank: React Native bridges ______ and native code.,JavaScript.
Frontend,React Native,Easy,How do you display a loading spinner in React Native?,Using <ActivityIndicator>.
Frontend,React Native,Easy,What does the TouchableOpacity component do?,Provides a pressable button with fade effect.
Frontend,React Native,Easy,Which hook is commonly used in React Native functional components?,useState and useEffect.
Frontend,React Native,Easy,True/False: React Native apps can be published to both Google Play Store and Apple App Store.,True.
Frontend,React Native,Easy,How do you import components from React Native?,"import { Text, View } from 'react-native';."
Frontend,React Native,Easy,What is the default port used by Metro bundler?,Port 8081.
Frontend,React Native,Easy,Which file stores the app’s name and entry point?,app.json.
Frontend,React Native,Easy,Scenario: You want to navigate between two screens. Which React Native concept do you use?,Navigation (React Navigation library).
Frontend,React Native,Easy,Fill in the blank: The command to start Metro bundler is npx react-native ______.,start.
Frontend,React Native,Easy,Which platform-specific file is generated for Android builds?,.apk or .aab.
Frontend,React Native,Easy,Which platform-specific file is generated for iOS builds?,.ipa.
Frontend,React Native,Easy,What is the use of Platform module in React Native?,To check if app is running on iOS or Android.
Frontend,React Native,Easy,True/False: React Native supports reusable components.,True.
Frontend,React Native,Easy,Which file is used to configure dependencies in React Native?,package.json.
Frontend,React Native,Easy,What is the purpose of SafeAreaView?,Ensures content is rendered within safe display boundaries.
Frontend,React Native,Easy,How do you refresh the React Native app manually on device?,Shake the device → select reload.
Frontend,React Native,Easy,What is the use of useEffect hook in React Native?,To perform side effects like fetching data or setting up listeners.
Frontend,React Native,Easy,How do you add icons in React Native?,By using react-native-vector-icons or other icon libraries.
Frontend,React Native,Medium,What is the difference between controlled and uncontrolled components in React Native?,"Controlled components rely on React state, uncontrolled components maintain their own state internally."
Frontend,React Native,Medium,How does React Native handle styling compared to CSS in web development?,It uses JavaScript objects with limited CSS-like properties instead of full CSS.
Frontend,React Native,Medium,Scenario: You want to persist data locally even after the app restarts. Which library would you use?,AsyncStorage or libraries like MMKV.
Frontend,React Native,Medium,Fill in the blank: useEffect runs after ______.,Every render (or when dependencies change).
Frontend,React Native,Medium,What is the difference between useState and useReducer in React Native?,"useState is for simple state, useReducer is for complex state logic."
Frontend,React Native,Medium,True/False: React Native can directly use all React web libraries without modification.,False.
Frontend,React Native,Medium,What is the purpose of Flexbox in React Native?,"To create responsive layouts using properties like flexDirection, justifyContent, and alignItems."
Frontend,React Native,Medium,How do you detect the platform (iOS or Android) in React Native?,Using the Platform module (Platform.OS).
Frontend,React Native,Medium,Which lifecycle methods in class components correspond to useEffect in functional components?,"componentDidMount, componentDidUpdate, and componentWillUnmount."
Frontend,React Native,Medium,Scenario: You need to show different UI for Android and iOS. How can you do this?,"Use Platform.OS conditionals or create platform-specific files (.ios.js, .android.js)."
Frontend,React Native,Medium,What is the difference between ScrollView and FlatList?,"ScrollView renders all items at once, FlatList renders items lazily for better performance."
Frontend,React Native,Medium,What does the keyExtractor prop in FlatList do?,It defines a unique key for each item to help React identify list items.
Frontend,React Native,Medium,Fill in the blank: TouchableOpacity and TouchableHighlight are examples of ______ components.,Touchable/Pressable.
Frontend,React Native,Medium,What is the purpose of SectionList in React Native?,To render grouped lists with section headers.
Frontend,React Native,Medium,Scenario: You want to animate a button press. Which API would you use?,Animated API or Reanimated.
Frontend,React Native,Medium,What is the difference between controlled TextInput and uncontrolled TextInput?,"Controlled uses state to manage value, uncontrolled lets the input manage its own value."
Frontend,React Native,Medium,How can you optimize the performance of a React Native list?,"Use FlatList with keyExtractor, getItemLayout, initialNumToRender, and memoization."
Frontend,React Native,Medium,True/False: React Native provides built-in gesture handling.,False (needs libraries like react-native-gesture-handler).
Frontend,React Native,Medium,Which navigation types are supported by React Navigation?,"Stack, Drawer, Bottom Tab, Top Tab navigation."
Frontend,React Native,Medium,Scenario: You want to navigate back to the previous screen. Which method do you call?,navigation.goBack().
Frontend,React Native,Medium,What is the purpose of SafeAreaView?,Ensures UI elements are rendered within device safe areas (not under notches or status bars).
Frontend,React Native,Medium,Fill in the blank: Modal component in React Native is used to display ______.,Content above the current screen.
Frontend,React Native,Medium,How do you debug a React Native app running on a physical device?,"Using Flipper, React Native Debugger, or remote debugging with Chrome."
Frontend,React Native,Medium,What is the difference between synchronous and asynchronous storage in React Native?,"Synchronous blocks execution, asynchronous runs in the background without blocking."
Frontend,React Native,Medium,"Which React Native component allows detecting gestures like pan, pinch, and swipe?",Gesture Handler (react-native-gesture-handler).
Frontend,React Native,Medium,True/False: React Native supports TypeScript.,True.
Frontend,React Native,Medium,Scenario: You want to share data between deeply nested components without prop drilling. Which feature do you use?,React Context API.
Frontend,React Native,Medium,What is the difference between useContext and useReducer?,"useContext provides global state access, useReducer manages complex state transitions."
Frontend,React Native,Medium,Fill in the blank: React Native bridges ______ and native APIs.,JavaScript.
Frontend,React Native,Medium,Which tool is used for profiling performance in React Native apps?,Flipper or React Native Performance Monitor.
Frontend,React Native,Medium,How does React Native achieve native-like performance?,By bridging JavaScript code to native components instead of using WebView.
Frontend,React Native,Medium,Scenario: Your app has slow re-rendering. What can you do?,"Use React.memo, avoid unnecessary state updates, optimize FlatLists."
Frontend,React Native,Medium,What is the difference between Expo and bare React Native CLI?,"Expo simplifies setup with managed workflow, CLI gives full native control."
Frontend,React Native,Medium,True/False: Expo apps can use any custom native modules without ejecting.,False.
Frontend,React Native,Medium,What is the purpose of Linking API in React Native?,To handle deep linking and open URLs from apps.
Frontend,React Native,Medium,Which hook replaces componentWillUnmount in functional components?,Cleanup function inside useEffect.
Frontend,React Native,Medium,"Fill in the blank: In React Native, all components must return ______.",A single root element.
